grade,num,subject,question
B,46,국어,"다음의 이어주는 말 중 하나를 골라 문장을 완성해 봅시다.
선생님께 칭찬을 들었습니다. (그래서, 왜냐하면, 때문에) 친구들을 도와주었기 때문입니다.
배가 아팠습니다. (그래서, 왜냐하면, 때문에) 집에서 쉬었습니다.
운동을 열심히 했기 (그래서, 왜냐하면, 때문에) 땀이 많이 났습니다."
B,47,국어,"다음 그림과 글을 살펴보세요.
착한 할아버지는 젊어지게 하는 
샘물을 마셨습니다.
욕심쟁이 할아버지는 젊어지게 하는 샘물을 많이 마셨습니다.
물은 마신 후 젊은이가 되었습니다.
물을 마신 후 아기가 되었습니다.
착한 할아버지는 젊어지게 하는 샘물을 마시고 젊은이가 되었습니다. 
그런데 욕심쟁이 할아버지는 젊어지게 하는 샘물을 너무 많이 마셔서 아기가 되었습니다.  
위와 같이 이야기를 짧게 줄이는 것을 간추리기라고 해요."
B,48,국어,1. 다음 그림을 보고 글로 간추려 봅시다.
B,49,국어,"다음 그림을 살펴보세요. 도깨비의 특징으로는 부리부리한 눈, 뿔, 무서운 표정 등을 들 수 있습니다. 도깨비 방망이, 뿔 같은 특징 때문에 도깨비는 무서워 보입니다.
다른 것과 특별히 달라서 눈에 띄는 점을 특징이라고 해요."
B,50,국어,"1. 다음과 같은 특징을 가진 동물의 이름을 쓰세요.
코가 길어요. 몸집이 커요. 다리가 네 개예요. 귀가 커요"
B,51,국어,2. 나의 특징을 친구들에게 소개하려고 해요. 나의 어떤 점을 소개할 수 있을지 모두 골라 보세요.
B,52,국어,다음 그림을 보고 장미꽃의 특징을 써 보세요.
B,53,국어,"다음 글을 읽어 보세요.
저는 대한초등학교 4학년 1반 김원경이라고 합니다. 저는 축구를 가장 좋아합니다.
운동장에서 축구를 할 때 가장 재미있고 신이 납니다. 저의 꿈은 의사가 되는 것입니다.
의사가 되면 아픈 사람들을 치료할 수 있어서 좋을 것 같습니다. 소개하는 글에는 자기를 소개하는 글도 있지만 다른 사람이나 물건을 소개하는 글도 있습니다. 소개하는 글은 소개하는 내용에 맞게 알맞은 낱말을 써서 소개해야 합니다. 알맞은 낱말이란 쓰거나 말하려는 내용에 딱 맞는 말입니다."
B,54,국어,"1. 다음은 저금통을 소개하는 글이에요. 알맞지 않은 내용이 있는 문장을 골라 보세요.
저에게는 아주 소중한 저금통이 있습니다. 작년에 어머니께서 선물로 주신 저금통입니다. 돼지 모양이고 빨간 색입니다. 돈은 적게 모일수록 좋습니다. "
B,55,국어,"2. 보기의 낱말의 뜻을 살펴보고, 다음 문장에 알맞은 낱말을 골라 표 하세요.
마치다: 하던 일이나 과정이 끝나다.
일을 마치다.
샤워를 마치다.
수업을 마치다.
이야기를 마치다.
부치다: 편지나 물건 등을 보내다.
돈을 부치다.
소포를 부치다.
짐을 부치다.
편지를 부치다.
맞히다: 문제에 대한 답을 옳게 대다.
답을 맞히다.
정답을 맞히다.
빨리 맞히다.
정확하게 맞히다.
붙이다: 물건이 떨어지지 않게 하다.
반창고를 붙이다.
종이를 붙이다.
문에 붙이다.
벽에 붙이다."
B,56,국어,"다음 대화를 읽어 보세요. 나는 오늘 겪은 일을 엄마에게 이야기하였습니다. 오늘 겪은 일 중 가장 기억에 남는 것은 달리기에서 1등을 한 것입니다. 여름 방학에 여행을 했던 경험은 잊을 수 없습니다. 방송국에 직접 갔던 일은 좋은 경험이었습니다. 보고, 듣고, 직접 해 본 모든 일들을 겪은 일 또는 경험이라고 해요."
B,57,국어,"1. 다음 문장을 읽고 빈칸에 공통으로 들어갈 말을 쓰세요.
책을 읽을 때에는 주인공이 과 내가 을 서로 비교해 보면서 읽어요."
B,58,국어," 2. 다음은 문장이 자연스럽도록 빈칸에 들어갈 말에 표 하세요.
한옥에 놀러 갔던 일은 잊지 못할 이에요. 겪은 일. 경험."
B,59,국어,다음 장면을 보고 수진이는 무엇을 하고 있는지 이야기해 보세요 떠올리다. 나는 가장 재미있게 읽은 책을 떠올렸습니다. 가족과 함께 갔던 제주도 여행을 떠올렸습니다. 지난 여름방학에 했던 일을 떠올렸습니다. 기억하고 있는 일이나 잘 생각나지 않던 것을 생각해 낸다는 뜻이에요.
B,60,국어,"1. 다음 대화를 읽고 빈칸에 들어갈 말로 알맞은 것은 어느 것인가요?
민지: 엄마, 일기 쓰기가 너무 어려워요. 무엇을 써야할 지 모르겠어요.
엄마: 오늘 겪은 일을."
B,61,국어,"다음 중 빈칸에 ‘떠올리다’가 들어가기 어려운 것은 어느 것인가요?
영화 속 재미있던 장면을.
나는 큰 소리로 노래를.
책의 내용과 관련된 경험을."
B,62,국어,"다음의 낱말을 읽어 보세요. ‘같이’는 가치라고 읽습니다. ‘같이’는 소리와 글자가 다른 낱말입니다. ‘국수’는 국쑤라고 읽습니다. ‘국수’는 소리와 글자가 다른 낱말입니다. ‘끝이’는 끄치라고 읽습니다. ‘끝이’는 소리와 글자가 다른 낱말입니다. ‘낙지’는 낙찌라고 읽습니다. ‘낙지’는 소리와 글자가 다른 낱말입니다.
‘같이’는 ‘같’과 ‘이’를 이어서 발음할 때 글자대로 소리 나지 않습니다.
이러한 낱말을  소리와 글자가 다른 낱말이라고 해요"
B,63,국어,"1. 다음 낱말의 글자에 알맞은 소리를 찾아 표 하세요.
1) 해돋이.
해돋이.
해돋이.
해도디.
2) 숙제.
쑥쩨.
숙쩨.
숙제."
B,64,국어,"2. 다음 빈칸에 알맞은 말을 쓰세요. 
숙제 2. 숙제 쑥쩨 숙쩨 ‘끝이’와 ‘낙지’는 소리와 글자가 낱말입니다."
B,65,국어,"다음을 비교하여 보세요.
시는 노래처럼 표현합니다. 시에는 행과 연이 있습니다. 이야기는 긴 줄글로 되어 있습니다. 이야기는 지은이가 꾸며서 쓴 글입니다.
노래 가사처럼 리듬을 살려 짧게 표현한 것을 시라고 하고.
있을만한 일을 꾸며서 쓴 글을 이야기라고 해요."
B,66,국어,"1. 빈칸에 알맞은 말을 쓰세요.
‘발가락’은 입니다.
‘칠판 앞에 나가기 싫어’는 입니다."
B,67,국어," 2. 다음을 읽고 시에 대한 설명이면 표, 이야기에 대한 설명이면 표 하세요.
 긴 줄글로 되어 있습니다. 노래처럼 표현한 것입니다."
B,68,국어,"다음의 대화를 읽어 보세요.
나는 남자가 계속해서 방귀를 뀌는 모습이 재미있었어.
오늘 읽은 책이 너무 재미있었어.
승아야, 너는 어떤 장면이 재미있었니? 이 책의 재미있는 부분은 남자가 계속해서 방귀를 뀌는 장면입니다.
시나 이야기에서 즐거운 기분이나 느낌을 주는 부분을 재미있는 부분이라고 해요."
B,69,국어,1. 재미있는 부분에서 느낄 수 있는 표정으로 알맞은 것을 골라 표 하세요.
B,70,국어," 2. 다음 대화에서 친구들은 무엇에 대해 이야기하고 있나요?
현아: 나는 매미가 우는 소리를 ‘찌징찌징찌징’이라고 표현한 부분이 재미있었어.
종우: 나는 파란 하늘을 ‘파란색 도화지’라고 표현한 부분이 재미있었어.
미안했던 부분. 고마웠던 부분. 재미있는 부분. 어려웠던 부분."
B,71,국어,"다음의 문장을 읽어 보세요.
새들이 노래한다.
꽃들이 웃는다.
나비가 춤을 춘다. ‘새들이 노래한다.’는 새들이 지저귀는 모습을 노래한다고 사람인 것처럼 표현하였습니다. ‘꽃들이 웃는다.’는 꽃들이 활짝 핀 모습을 웃는다고 사람인 것처럼 표현하였습니다. ‘나비가 춤을 춘다.’는 나비가 날아다니는 모습을 춤을 춘다고 사람인 것처럼 표현하였습니다.
동물, 식물, 사물이 말하고 행동하는 것처럼 표현하는 것을 사람인것처럼표현하다.
라고 해요."
B,72,국어,"1. 다음을 읽고 사람인 것처럼 표현한 것은 무엇인가요?
나무는 초록색이다. 나무가 손을 흔든다. 나무가 크다."
B,73,국어,"2. 다음 문장을 읽고 빈칸에 알맞은 말을 쓰세요.
 ‘햇님이 방긋 웃는다.’ 햇님을 인 것처럼 표현하였습니다."
B,74,국어,"3. 다음 문장을 사람인 것처럼 표현할 때, 빈칸에 들어갈 말로 알맞지 않은 것에 표 하세요.
강물이.
노래한다.
깊다.
춤을 춘다.
이야기한다."
B,75,국어,"다음 그림의 같은 점을 찾아 이야기해 보세요. 구름을 솜사탕에 빗대어 표현합니다. 파란 하늘을 파란색 도화지에 빗대어 표현합니다.
어떤 것을 직접 말하지 않고 비슷한 점이 있는 다른 것과 연결하여 표현하는 것을 ‘빗대어표현하다’라고 해요."
B,76,국어,"1. 다음을 보고 빈칸에 알맞은 말을 쓰세요.
하늘은 파란색 도화지 같아요.
하늘을 파란색 도화지에  표현하였습니다."
B,77,국어,"2. 다음 문장에서 ‘내 동생’을 무엇에 빗대어 표현하였는지 빈칸에 알맞은 말을 쓰세요.
내 동생은 거북이에요. 
왜냐하면 거북이처럼 행동이 느리기 때문이에요."
B,78,국어,"다음의 낱말을 읽어 보세요.
깡충깡충.
토끼가 뛰어가는 모양을 흉내 내는 말은 ‘깡충깡충’입니다. 개가 짖는 소리를 흉내 내는 말은 ‘멍멍’입니다. 하하’, ‘호호’, ‘깔깔깔’은 웃음소리를 흉내 내는 말입니다.
멍멍.
‘깡총깡총’이나 ‘멍멍’과 같이 모양이나 소리를 나타내는 말을 흉내내는말 이라고 해요."
B,79,국어,"1. 다음의 문장에서 흉내 내는 말을 찾아 표 하세요.
거북이가.
엉금엉금.
기어갑니다.
아기가.
방긋방긋.
웃습니다."
B,80,국어,"아들은 어머니께 무엇을 말하고 있나요? 나는 어머니께 운동화를 사 달라고 부탁하는 글을 썼습니다. 부탁하는 글에는 부탁하는 내용과 부탁하는 까닭이 나타납니다. 부탁하는 글을 쓸 때에는 예의를 갖추어야 합니다.
다른 사람에게 어떤 일을 해 달라고 말하는 글을 부탁하는글이라고 해요."
B,81,국어,"1. 다음 글을 읽고, 이 글의 종류로 알맞은 것에 표 하세요.
친구들에게.
친구들아, 공부 시간에는 조용히 했으면 좋겠어.
너희들이 떠들면 선생님 말씀을 들을 수 없고, 공부하기 힘들어."
B,82,국어,"2. 다음 중 부탁하는 글을 써야 하는 경우로 가장 알맞은 것은 무엇인가요?
보고 싶은 친구에게 마음을 전할 때.
선생님께 고마움을 표시하고 싶을 때.
친구들에게 복도에서 뛰지 말라고 말하고 싶을 때.
부모님께 잘못한 일에 대해 죄송하다고 말씀드릴 때."
B,83,국어,"다음의 그림은 무엇을 뜻하나요? 모르는 낱말을 사전에서 찾았습니다. 낱말의 뜻을 많이 알면 글의 내용을 잘 알 수 있습니다. ‘아이’와 ‘어린이’는 뜻이 비슷한 낱말입니다.
산, 나무, 사과처럼 뜻을 가지고 있으면서 홀로 쓰일 수 있는 말을 낱말이라고 해요."
B,84,국어,"1. 다음 중 낱말을 모두 찾아 표 하세요.
바다.
엄마.
노래."
B,85,국어,2. 다음 빈칸에 공통으로 들어갈 말을 쓰시오. ‘엄마’와 ‘어머니’는 뜻이 비슷한 ‘남자’와 ‘여자’는 뜻이 반대인 입니다.
B,86,국어,"다음 문장에서 파란색으로 표시된 부분은 무엇을 나타내는 것일까요?
영수야, 만나서 반가워.
문장의 끝에.
을 온점이라고 하고,
을 반점이라고 해요."
B,87,국어,"1. 다음을 알맞게 연결하세요.
온점.
반점."
B,88,국어,"2. 다음 빈칸에 들어갈 것이 무엇인지 알맞은 것을 연결하세요.
여름에는 수박 참외 포도를 먹습니다.
오늘은 내 생일입니다."
B,89,국어,"3. 다음 빈칸에 온점과 반점 중 알맞은 것을 쓰세요.
선생님 온점 반점 안녕하세요."
B,90,국어,"다음 글에서 온점과 반점은 각각 몇 번 사용되었나요?
봄이 가고, 여름이 왔습니다. 날씨가 무덥습니다."
B,91,국어,"다음을 비교하면서 읽어 보세요. 무엇이 다른가요?
아기가오리를보았다.
아기가 오리를 보았다.
띄어쓰기를 하면 내용을 정확하게 알 수 있습니다.
낱말과 낱말 사이는 띄어쓰기를 합니다.
온점과 반점 뒤에는 띄어쓰기를 합니다."
B,92,국어,"1. 그림에 알맞은 문장이 되도록 띄어쓰기를 할 곳에 표를 하세요.
친구가방에들어갔다."
B,93,국어,"2. 다음 중 띄어쓰기가 바르게 된 것은 어느 것인가요?
동욱아,빨리 와.
나는학 교에 갑니다.
나는 피자를 좋아합니다."
B,94,국어,"다음은 무엇을 하는 것인지 생각해 보세요. 올바른 손씻기 방법을 일의 순서대로 설명하였습니다. 일의 순서를 정해서 하면 빠르고 정확하게 할 수 있습니다. 일의 순서를 알면 쉽게 일을 할 수 있습니다.
어떤 일이 차례에 따라 하나씩 일어나는 과정을 일의 순서라고 해요."
B,95,국어,"1. 김밥을 만드는 방법을 일의 순서대로 번호를 쓰세요.
재료 준비하기.
재료를 가지런히 놓고 돌돌 말기.
김밥을 썰어 그릇에 담기.
밥 양념하기."
B,96,국어,"2. 다음 빈칸에 알맞은 말을 쓰세요.
장난감을 만드는 방법을 설명하기 위해서는 따라 말해야 합니다."
B,97,국어,"다음의 이야기가 어떤 내용일지 생각해 보세요. 누가, 언제, 어디에서 어떤 일이 일어났는지 살펴보면 이야기의 흐름을 알 수 있습니다. 이야기를 간추릴 때에는 이야기의 흐름이 잘 나타나야 합니다.
이야기를 잘 이해하려면 이야기의 흐름을 알아야 합니다.
이야기 속에 어떤 일이 일어나면서 이야기가 펼쳐지는 것을.
이야기의 흐름이라고 해요."
B,98,국어,1. 다음 문장을 보고 이야기의 흐름에 맞게 순서대로 번호를 쓰세요.
B,99,국어,"다음 그림은 무엇을 하고 있는 것인지 이야기해 보세요. 선생님의 훈화를 들었습니다. 월요일 아침에는 교장 선생님께서 훈화를 하십니다. 할아버지께서 웃어른을 공경하라고 훈화를 들었습니다.
가르침을 주는 말이나 이야기를 훈화라고 해요."
B,100,국어,"1. 다음 중 훈화의 내용으로 알맞지 않은 것은 어느 것인가요?
인사를 잘 하자.
거짓말을 잘 하자.
부모님 말씀을 잘 듣자.
친구와 사이좋게 지내자.
일찍 일어나는 습관을 가지자."
B,101,국어," 2. 다음 빈칸에 들어갈 말을 쓰세요.
교장 선생님께서는 우리에게 열심히 공부하라고 를 하십니다."
B,102,국어,"1. 다음 빈칸에 들어갈 말을 쓰세요.
어떤 내용을 들을 때 ‘듣기 전’, ‘듣기 중’, ‘듣기 후’의.
순서를 거치는 것을 이라고 합니다."
B,103,국어,"2. 듣기의 과정을 생각하며, 다음 빈칸에 들어갈 말을 쓰세요.
듣기 에는 들을 내용에 대해 미리 생각합니다.
듣기 에는 들으면서 간단히 적습니다.
듣기 에는 자신의 생각을 정리합니다."
B,104,국어,"다음을 보고, ‘김밥’이라는 낱말을 둘로 쪼개면 무엇과 무엇이 되는지 말해 보세요.
쪼개다’는 무엇을 둘 이상으로 나누거나 가른다는 말입니다. ‘김밥’은 ‘김’과 ‘밥’이 만나서 만들어진 낱말입니다.
밥.
 ‘김밥’은 ‘김’과 ‘밥’으로 쪼갤 수 있는 낱말입니다. ‘국’하고 ‘밥’이 있으면 ‘국밥’이 되니까, 국밥은 쪼갤 수 있는 낱말입니다.
‘김밥, 국밥’처럼 둘 이상으로 나눌 수 있는 낱말을 쪼갤 수 있는 낱말이라고 해요."
B,105,국어,"1. 다음 낱말을 합치면 어떤 낱말이 되는지 빈칸에 쓰세요.
김 + 밥.
꽃 + 병.
국 + 밥.
책 + 가방."
B,106,국어,"2. 다음 낱말을 둘로 쪼개어 빈칸에 써 보세요.
김밥.
국밥.
꽃병.
책가방."
B,107,국어,3. 다음 빈칸에 들어갈 말을 쓰세요.
B,108,국어,"4. 다음 낱말을 합치면 어떤 낱말이 되는지 빈칸에 쓰세요.
색. 종이.
색. 연필."
B,109,국어,"5. 다음 낱말을 둘로 쪼개어 쓰고, 쪼갤 수 있는 낱말의 뜻을 쓰세요.
색종이.
색연필 .
뜻.
뜻."
B,110,국어,"6. 다음에서 쪼갤 수 있는 낱말을 찾아 표 하세요.
김밥.
사과.
가방.
밥국밥책가.
방.
꽃병.
색종이.
눈사람.
종이.
사람.
꽃."
B,111,국어,"다음을 보면서, ‘사과’를 둘로 나눈 ‘사’와 ‘과’는 각각 뜻이 있는 말인지 이야기해 보세요. ‘사과’는 ‘사’와 ‘과’로 쪼개면 각각 아무 뜻을 가지지 못해서, ‘사과’는 쪼갤 수 없는 낱말이라고 합니다. 두 글자 낱말인 ‘바다’를 쪼개었을 때 ‘바’와 ‘다’는 뜻을 가지고 있지 않습니다. 그래서 ‘바다’도 쪼갤 수 없는 낱말입니다. ‘집, 꽃’은 더 작게 쪼개면 뜻이 사라지기 때문에, 쪼갤 수 없는 낱말입니다. 쪼갤 수 없는 낱말은 더 이상 나눌 수 없는 낱말입니다.
 ‘집, 꽃, 바다, 사과’처럼 더 이상 나눌 수 없는 낱말을 쪼갤 수 없는 낱말이라고 해요."
